X,Y,Z,Dens,Cu
4300,4800,2700,0.068038855,-2
4350,4800,2700,0.068038855,0.51
4400,4800,2700,0.068038855,0.61
4450,4800,2700,0.068038855,0.88
4500,4800,2700,0.068038855,1.11
4550,4800,2700,0.068038855,0.96
4600,4800,2700,0.068038855,0.8
4650,4800,2700,0.068038855,0.63
4700,4800,2700,0.068038855,0.5
4750,4800,2700,0.068038855,0.4
4800,4800,2700,0.068038855,0.32
4850,4800,2700,0.068038855,0.32
4300,4850,2700,0.068038855,0.5
4350,4850,2700,0.068038855,0.53
4400,4850,2700,0.068038855,0.62
4450,4850,2700,0.068038855,0.88
4500,4850,2700,0.068038855,1.2
4550,4850,2700,0.068038855,1.02
4600,4850,2700,0.068038855,0.87
4650,4850,2700,0.068038855,0.71
4700,4850,2700,0.068038855,0.56
4750,4850,2700,0.068038855,0.44
4800,4850,2700,0.068038855,0.36
4850,4850,2700,0.068038855,0.36
4300,4900,2700,0.068038855,0.51
4350,4900,2700,0.068038855,0.54
4400,4900,2700,0.068038855,0.63
4450,4900,2700,0.068038855,0.88
4500,4900,2700,0.068038855,1.24
4550,4900,2700,0.068038855,1.08
4600,4900,2700,0.068038855,0.93
4650,4900,2700,0.068038855,0.76
4700,4900,2700,0.068038855,0.62
4750,4900,2700,0.068038855,0.5
4800,4900,2700,0.068038855,0.4
4850,4900,2700,0.068038855,0.4
4300,4950,2700,0.068038855,0.52
4350,4950,2700,0.068038855,0.55
4400,4950,2700,0.068038855,0.65
4450,4950,2700,0.068038855,0.89
4500,4950,2700,0.068038855,1.24
4550,4950,2700,0.068038855,1.14
4600,4950,2700,0.068038855,0.98
4650,4950,2700,0.068038855,0.8
4700,4950,2700,0.068038855,0.66
4750,4950,2700,0.068038855,0.54
4800,4950,2700,0.068038855,0.44
4850,4950,2700,0.068038855,0.44
4300,5000,2700,0.068038855,0.55
4350,5000,2700,0.068038855,0.56
4400,5000,2700,0.068038855,0.65
4450,5000,2700,0.068038855,0.89
4500,5000,2700,0.068038855,1.23
4550,5000,2700,0.068038855,1.19
4600,5000,2700,0.068038855,1.03
4650,5000,2700,0.068038855,0.85
4700,5000,2700,0.068038855,0.7
4750,5000,2700,0.068038855,0.58
4800,5000,2700,0.068038855,0.47
4850,5000,2700,0.068038855,0.47
4300,5050,2700,0.068038855,0.58
4350,5050,2700,0.068038855,0.57
4400,5050,2700,0.068038855,0.65
