X,Y,Z,Cu,Dens
1311,1463,823,-2,2.645544
1326,1463,823,0.51,2.645544
1341,1463,823,0.61,2.645544
1356,1463,823,0.88,2.645544
1372,1463,823,1.11,2.645544
1387,1463,823,0.96,2.645544
1402,1463,823,0.8,2.645544
1417,1463,823,0.63,2.645544
1433,1463,823,0.5,2.645544
1448,1463,823,0.4,2.645544
1463,1463,823,0.32,2.645544
1478,1463,823,0.32,2.645544
1311,1478,823,0.5,2.645544
1326,1478,823,0.53,2.645544
1341,1478,823,0.62,2.645544
1356,1478,823,0.88,2.645544
1372,1478,823,1.2,2.645544
1387,1478,823,1.02,2.645544
1402,1478,823,0.87,2.645544
1417,1478,823,0.71,2.645544
1433,1478,823,0.56,2.645544
1448,1478,823,0.44,2.645544
1463,1478,823,0.36,2.645544
1478,1478,823,0.36,2.645544
1311,1494,823,0.51,2.645544
1326,1494,823,0.54,2.645544
1341,1494,823,0.63,2.645544
1356,1494,823,0.88,2.645544
1372,1494,823,1.24,2.645544
1387,1494,823,1.08,2.645544
1402,1494,823,0.93,2.645544
1417,1494,823,0.76,2.645544
1433,1494,823,0.62,2.645544
1448,1494,823,0.5,2.645544
1463,1494,823,0.4,2.645544
1478,1494,823,0.4,2.645544
1311,1509,823,0.52,2.645544
1326,1509,823,0.55,2.645544
1341,1509,823,0.65,2.645544
1356,1509,823,0.89,2.645544
1372,1509,823,1.24,2.645544
1387,1509,823,1.14,2.645544
1402,1509,823,0.98,2.645544
1417,1509,823,0.8,2.645544
1433,1509,823,0.66,2.645544
1448,1509,823,0.54,2.645544
1463,1509,823,0.44,2.645544
1478,1509,823,0.44,2.645544
1311,1524,823,0.55,2.645544
1326,1524,823,0.56,2.645544
1341,1524,823,0.65,2.645544
1356,1524,823,0.89,2.645544
1372,1524,823,1.23,2.645544
1387,1524,823,1.19,2.645544
1402,1524,823,1.03,2.645544
1417,1524,823,0.85,2.645544
1433,1524,823,0.7,2.645544
1448,1524,823,0.58,2.645544
1463,1524,823,0.47,2.645544
1478,1524,823,0.47,2.645544
1311,1539,823,0.58,2.645544
1326,1539,823,0.57,2.645544
1341,1539,823,0.65,2.645544
1356,1539,823,0.87,2.645544
1372,1539,823,1.21,2.645544
1387,1539,823,1.23,2.645544
1402,1539,823,1.08,2.645544
1417,1539,823,0.9,2.645544
1433,1539,823,0.75,2.645544
1448,1539,823,0.61,2.645544
1463,1539,823,0.52,2.645544
1478,1539,823,0.52,2.645544
1311,1554,823,0.61,2.645544
