X,Y,Z,% Cu
4580,5463,3100,3.0612
4580,5463,3075,5.896
4580,5463,3050,3.9794
4580,5463,3025,3.1611
4580,5463,3000,2.9916
4580,5463,2975,1.6231
4580,5463,2950,1.3749
4580,5463,2925,1.1536
4580,5463,2900,0.9723
4580,5463,2875,1.263
4580,5463,2850,1.2564
4580,5463,2825,0.8777
4580,5463,2800,1.0512
4580,5463,2775,0.7201
4580,5463,2750,0.8562
4580,5463,2725,0.9003
4345,5613,3050,0.0909
4345,5613,3025,0.116
4345,5613,3000,0.0965
4345,5613,2975,0.1359
4345,5613,2950,0.1178
4345,5613,2925,0.1929
4345,5613,2900,0.5253
4345,5613,2875,0.1884
4345,5613,2850,0.145
4345,5613,2825,0.1505
4345,5613,2800,0.1091
4345,5613,2775,0.0602
4345,5613,2750,0.0658
4345,5613,2725,0.0656
4345,5613,2700,0.0905
4570,5184,3150,0.03
4570,5184,3125,0.4513
4570,5184,3100,1.1153
4570,5184,3075,0.6685
4570,5184,3050,0.8376
4570,5184,3025,1.0297
4570,5184,3000,1.8104
4570,5184,2975,2.1419
4570,5184,2950,3.4694
4570,5184,2925,1.6772
4570,5184,2900,1.6947
4570,5184,2875,0.9547
4570,5184,2850,0.8652
4570,5184,2825,0.954
4570,5184,2800,0.7908
4570,5184,2775,1.0073
4570,5184,2750,1.4864
4570,5184,2725,1.0284
4570,5184,2700,1.1447
4325,5053,3125,0.272
4325,5053,3100,0.3995
4325,5053,3075,0.5073
4325,5053,3050,0.6056
4325,5053,3025,0.652
4325,5053,3000,0.5315
4325,5053,2975,0.3867
4325,5053,2950,0.4316
4325,5053,2925,0.4773
4325,5053,2900,0.5208
4325,5053,2875,0.4043
4325,5053,2850,0.2642
4325,5053,2825,0.7547
4325,5053,2800,0.7346
4325,5053,2775,0.5183
4325,5053,2750,0.54
4335,5336,3150,0.075
4335,5336,3125,0.0962
4335,5336,3100,0.1914
4335,5336,3075,0.1758
4335,5336,3050,0.1554
4335,5336,3025,0.2314
4335,5336,3000,0.237
4335,5336,2975,0.1952
4335,5336,2950,0.2235
4335,5336,2925,0.1864
4335,5336,2900,0.1659
4335,5336,2875,0.169
4335,5336,2850,0.2111
4335,5336,2825,0.3507
4335,5336,2800,0.2252
4335,5336,2775,0.297
4335,5336,2750,0.8021
4335,5336,2725,0.6629
4458,5399,3150,0.023
4458,5399,3125,0.0265
4458,5399,3100,0.4682
4458,5399,3075,0.846
4458,5399,3050,0.4524
4458,5399,3025,0.3331
4572,5323,3125,0.668
4572,5323,3100,1.6267
4572,5323,3075,3.4107
4572,5323,3050,2.484
4572,5323,3025,1.3829
4572,5323,3000,1.6703
4572,5323,2975,1.293
4572,5323,2950,1.2777
4572,5323,2925,1.6043
4572,5323,2900,1.0788
4572,5323,2875,0.488
4572,5323,2850,0.6378
4572,5323,2825,0.5678
4572,5323,2800,0.6925
4572,5323,2775,0.9012
4572,5323,2750,0.6228
4572,5323,2725,0.5243
4572,5323,2700,0.8103
4626,5375,3125,0.03
4626,5375,3100,1.5264
4626,5375,3075,2.2386
4626,5375,3050,1.8109
4626,5375,3025,1.305
4751,4923,3100,0.038
4751,4923,3075,0.0542
4751,4923,3050,0.0415
4751,4923,3025,0.0956
4751,4923,3000,0.0753
4751,4923,2975,0.081
4751,4923,2950,0.1178
4751,4923,2925,0.129
4751,4923,2900,0.1013
4751,4923,2875,0.1137
4751,4923,2850,0.1254
4751,4923,2825,0.0854
4751,4923,2800,0.1807
4751,4923,2775,0.1359
4751,4923,2750,0.116
4751,4923,2725,0.11
4751,4923,2700,0.2721
