X,Y,Z,IDS,KRIG,90-71,90-
4350,4850,3150,0.04,0.04,0.110,0.096864
4400,4850,3150,0.07,0.07,0.087,0.09523
4450,4850,3150,0.08,0.07,0.074,0.087045
4500,4850,3150,0.1,0.08,0.059,0.078495
4550,4850,3150,0.11,0.1,0.039,0.052583
4600,4850,3150,0.1,0.1,0.020,0.03108
4350,4900,3150,0.04,0.05,0.107,0.099746
4400,4900,3150,0.06,0.07,0.085,0.097979
4450,4900,3150,0.07,0.07,0.072,0.092094
4500,4900,3150,0.09,0.08,0.058,0.084991
4550,4900,3150,0.11,0.09,0.040,0.062152
4600,4900,3150,0.11,0.1,0.021,0.037543
4350,4950,3150,0.04,0.04,0.105,0.099125
4400,4950,3150,0.04,0.05,0.083,0.100877
4450,4950,3150,0.06,0.06,0.069,0.097509
4500,4950,3150,0.08,0.07,0.057,0.090177
4550,4950,3150,0.09,0.08,0.040,0.073732
4600,4950,3150,0.09,0.09,0.022,0.045313
4350,5000,3150,0.04,0.04,0.102,0.094907
4400,5000,3150,0.04,0.05,0.080,0.103754
4450,5000,3150,0.05,0.06,0.066,0.103263
4500,5000,3150,0.07,0.07,0.055,0.09601
4550,5000,3150,0.08,0.07,0.040,0.087764
4350,5050,3150,0.04,0.04,0.096,0.090504
4500,5050,3150,0.06,0.06,0.054,0.102484
4350,5100,3150,0.02,0.03,0.089,0.086398
4400,5100,3150,0.03,0.04,0.074,0.09503
4450,5100,3150,0.04,0.04,0.061,0.104688
4500,5100,3150,0.05,0.05,0.055,0.10922
4350,5150,3150,0.03,0.03,0.086,0.079533
4400,5150,3150,0.03,0.04,0.073,0.0909
4450,5150,3150,0.04,0.04,0.060,0.100108
4500,5150,3150,0.04,0.04,0.056,0.115605
4550,5150,3150,0.04,0.05,0.048,0.132106
4350,5200,3150,0.03,0.04,0.083,0.071978
4400,5200,3150,0.03,0.04,0.071,0.082856
4450,5200,3150,0.04,0.04,0.058,0.094798
4500,5200,3150,0.04,0.04,0.055,0.113546
4550,5200,3150,0.05,0.05,0.052,0.14835
4450,5250,3150,0.04,0.03,0.056,0.087257
4350,4850,3125,0.23,0.24,0.248,0.179702
4400,4850,3125,0.32,0.33,0.208,0.176465
4450,4850,3125,0.34,0.33,0.192,0.164601
4500,4850,3125,0.33,0.33,0.175,0.143115
4550,4850,3125,0.31,0.3,0.120,0.099707
4600,4850,3125,0.29,0.3,0.058,0.060047
4650,4850,3125,0.22,0.29,0.030,0.035274
4350,4900,3125,0.29,0.38,0.263,0.185049
4400,4900,3125,0.32,0.39,0.231,0.181559
4450,4900,3125,0.35,0.33,0.206,0.175104
4500,4900,3125,0.33,0.33,0.189,0.15459
4550,4900,3125,0.3,0.3,0.134,0.117993
4600,4900,3125,0.29,0.3,0.065,0.072448
4650,4900,3125,0.17,0.26,0.034,0.043394
4350,4950,3125,0.23,0.32,0.275,0.190555
4400,4950,3125,0.24,0.29,0.243,0.186863
4450,4950,3125,0.37,0.34,0.215,0.184028
4500,4950,3125,0.46,0.44,0.193,0.167385
4550,4950,3125,0.35,0.3,0.143,0.140543
4600,4950,3125,0.33,0.31,0.071,0.087969
4650,4950,3125,0.15,0.16,0.037,0.053892
4350,5000,3125,0.23,0.3,0.284,0.186088
4400,5000,3125,0.22,0.27,0.253,0.192423
4450,5000,3125,0.35,0.32,0.219,0.18983
4500,5000,3125,0.55,0.5,0.187,0.181054
4550,5000,3125,0.31,0.28,0.144,0.167817
4600,5000,3125,0.25,0.21,0.077,0.107705
4650,5000,3125,0.12,0.11,0.040,0.067307
4350,5050,3125,0.26,0.25,0.279,0.177318
4400,5050,3125,0.24,0.28,0.258,0.193065
4450,5050,3125,0.29,0.27,0.210,0.196222
4500,5050,3125,0.34,0.26,0.180,0.193068
4550,5050,3125,0.23,0.23,0.147,0.20068
4600,5050,3125,0.18,0.21,0.084,0.13286
4650,5050,3125,0.09,0.08,0.045,0.084124
4350,5100,3125,0.14,0.18,0.262,0.165986
4400,5100,3125,0.2,0.21,0.253,0.184471
4450,5100,3125,0.19,0.2,0.205,0.2007
4500,5100,3125,0.19,0.22,0.182,0.207952
4550,5100,3125,0.17,0.19,0.157,0.234326
4600,5100,3125,0.14,0.14,0.093,0.165927
4650,5100,3125,0.06,0.05,0.051,0.106516
4350,5150,3125,0.18,0.2,0.249,0.152831
4400,5150,3125,0.18,0.2,0.248,0.1741
4450,5150,3125,0.21,0.29,0.212,0.194139
4500,5150,3125,0.13,0.2,0.186,0.215594
