X,Y,Z,% Cu,,,,,,,,
4750.82,4923.08,2978.5,-2.566550639,,,,,,,,
4750.82,4923.08,2978.5,-2.566550639,,-4.5,,,,,,
4750.82,4923.08,2978.5,-2.566550639,,-4.25,,,,,Bin,Frequency
4750.82,4923.08,2978.5,-2.566550639,,-4,,,,,-4.5,0
4750.82,4923.08,2978.5,-2.566550639,,-3.75,,,,,-4.25,67
4750.82,4923.08,2978.5,-2.566550639,,-3.5,,,,,-4,61
4750.82,4923.08,2978.5,-2.566550639,,-3.25,,,,,-3.75,80
4616.47,5403.39,3083.53,0.500775288,,-3,,,,,-3.5,64
4616.47,5403.39,3083.53,0.500775288,,-2.75,,,,,-3.25,70
4616.47,5403.39,3083.53,0.500775288,,-2.5,,,,,-3,43
4616.47,5403.39,3083.53,0.500775288,,-2.25,,,,,-2.75,77
4616.47,5403.39,3083.53,0.500775288,,-2,,,,,-2.5,77
4584.9,4911.6,3010.3,-1.353246507,,-1.75,,,,,-2.25,70
4335,5336,2732.5,-0.246540129,,-1.5,,,,,-2,67
4503.08,4885.66,2968.63,-0.895508193,,-1.25,,,,,-1.75,56
4335,5336,2957.5,-1.581822745,,-1,,,,,-1.5,56
4335,5336,2957.5,-1.581822745,,-0.75,,,,,-1.25,45
4335,5336,2957.5,-1.581822745,,-0.5,,,,,-1,61
4335,5336,2957.5,-1.581822745,,-0.25,,,,,-0.75,67
4335,5336,2957.5,-1.581822745,,0,,,,,-0.5,60
4335,5336,2957.5,-1.581822745,,0.25,,,,,-0.25,60
4335,5336,2957.5,-1.581822745,,0.5,,,,,0,48
4335,5336,2957.5,-1.581822745,,0.75,,,,,0.25,47
4335,5336,2957.5,-1.581822745,,1,,,,,0.5,50
4335,5336,2957.5,-1.581822745,,1.25,,,,,0.75,85
4335,5336,2957.5,-1.581822745,,1.5,,,,,1,70
4418.9,5642.41,2884.24,-2.525728644,,1.75,,,,,1.25,57
4418.9,5642.41,2884.24,-2.525728644,,2,,,,,1.5,63
4418.9,5642.41,2884.24,-2.525728644,,,,,,,1.75,64
4418.9,5642.41,2884.24,-2.525728644,,,,,,,2,0
4418.9,5642.41,2884.24,-2.525728644,,,,,,,More,0
4418.9,5642.41,2884.24,-2.525728644,,,,,,,,
4418.9,5642.41,2884.24,-2.525728644,,,,,,,,
4436.7,5642.47,2901.79,-1.609437912,,,,,,,,
4535.74,5339.77,2892.06,-0.525600909,,,,,,,,
4556.65,5167.56,2838.11,0.005186527,,,,,,,,
4648.5,5522.77,3007.12,0.623153809,,,,,,,,
4648.5,5522.77,3007.12,0.623153809,,,,,,,,
4648.5,5522.77,3007.12,0.623153809,,,,,,,,
4648.5,5522.77,3007.12,0.623153809,,,,,,,,
4648.5,5522.77,3007.12,0.623153809,,,,,,,,
