X,Y,Z
4350,4850,3150
4400,4850,3150
4450,4850,3150
4500,4850,3150
4550,4850,3150
4600,4850,3150
4350,4900,3150
4400,4900,3150
4450,4900,3150
4500,4900,3150
4550,4900,3150
4600,4900,3150
4350,4950,3150
4400,4950,3150
4450,4950,3150
4500,4950,3150
4550,4950,3150
4600,4950,3150
4350,5000,3150
4400,5000,3150
4450,5000,3150
4500,5000,3150
4550,5000,3150
4350,5050,3150
4500,5050,3150
4350,5100,3150
4400,5100,3150
4450,5100,3150
4500,5100,3150
4350,5150,3150
4400,5150,3150
4450,5150,3150
4500,5150,3150
4550,5150,3150
4350,5200,3150
4400,5200,3150
4450,5200,3150
4500,5200,3150
4550,5200,3150
4450,5250,3150
4350,4850,3125
4400,4850,3125
4450,4850,3125
4500,4850,3125
4550,4850,3125
4600,4850,3125
4650,4850,3125
4350,4900,3125
4400,4900,3125
4450,4900,3125
4500,4900,3125
4550,4900,3125
4600,4900,3125
4650,4900,3125
4350,4950,3125
4400,4950,3125
4450,4950,3125
4500,4950,3125
4550,4950,3125
4600,4950,3125
4650,4950,3125
4350,5000,3125
4400,5000,3125
4450,5000,3125
4500,5000,3125
4550,5000,3125
4600,5000,3125
4650,5000,3125
4350,5050,3125
4400,5050,3125
4450,5050,3125
4500,5050,3125
4550,5050,3125
4600,5050,3125
4650,5050,3125
4350,5100,3125
4400,5100,3125
4450,5100,3125
4500,5100,3125
4550,5100,3125
4600,5100,3125
4650,5100,3125
4350,5150,3125
4400,5150,3125
4450,5150,3125
4500,5150,3125
4550,5150,3125
4600,5150,3125
4650,5150,3125
4350,5200,3125
4400,5200,3125
4450,5200,3125
4500,5200,3125
4550,5200,3125
4600,5200,3125
4650,5200,3125
4350,5250,3125
4400,5250,3125
4450,5250,3125
4500,5250,3125
4550,5250,3125
4600,5250,3125
4650,5250,3125
4350,5300,3125
4400,5300,3125
4450,5300,3125
4500,5300,3125
4550,5300,3125
4600,5300,3125
4350,5350,3125
4400,5350,3125
4450,5350,3125
4500,5350,3125
4550,5350,3125
4600,5350,3125
4350,5400,3125
4400,5400,3125
4450,5400,3125
4500,5400,3125
4550,5400,3125
4600,5400,3125
4350,5450,3125
4400,5450,3125
4450,5450,3125
4500,5450,3125
4550,5450,3125
4350,5500,3125
4400,5500,3125
4450,5500,3125
4500,5500,3125
4550,5500,3125
4450,5550,3125
4500,5550,3125
4650,4850,3100
4700,4850,3100
4750,4850,3100
4400,4900,3100
4450,4900,3100
4500,4900,3100
4550,4900,3100
4600,4900,3100
4650,4900,3100
4700,4900,3100
4400,4950,3100
4450,4950,3100
4500,4950,3100
4550,4950,3100
4600,4950,3100
4650,4950,3100
4700,4950,3100
4400,5000,3100
4450,5000,3100
4500,5000,3100
4550,5000,3100
4600,5000,3100
4650,5000,3100
4700,5000,3100
4400,5050,3100
4450,5050,3100
4500,5050,3100
4550,5050,3100
4600,5050,3100
4650,5050,3100
4700,5050,3100
4400,5100,3100
4450,5100,3100
4500,5100,3100
4550,5100,3100
4600,5100,3100
4650,5100,3100
4700,5100,3100
4400,5150,3100
4450,5150,3100
4500,5150,3100
4550,5150,3100
4600,5150,3100
4650,5150,3100
4700,5150,3100
4750,5150,3100
4400,5200,3100
4450,5200,3100
4500,5200,3100
4550,5200,3100
4600,5200,3100
4650,5200,3100
4700,5200,3100
4750,5200,3100
4400,5250,3100
4450,5250,3100
4500,5250,3100
4550,5250,3100
4600,5250,3100
4650,5250,3100
4700,5250,3100
4400,5300,3100
4450,5300,3100
4500,5300,3100
4550,5300,3100
4600,5300,3100
4650,5300,3100
4700,5300,3100
4350,5350,3100
4400,5350,3100
4450,5350,3100
4500,5350,3100
4550,5350,3100
4600,5350,3100
4650,5350,3100
4350,5400,3100
4400,5400,3100
4450,5400,3100
4500,5400,3100
4550,5400,3100
4600,5400,3100
4650,5400,3100
