X,Y,Z,% Cu
4630.94,5031.28,2989.6,0.3244
4570,5184,2918.5,1.6936
4560.04,5523.44,3006.87,1.5002
4646.88,4983.43,2877.14,0.9259
4622.7,5492.55,3017.51,2.5158
4694.53,5342.54,3051.44,2.142
4457.21,5165.89,2933.29,0.248
4429.52,5588.22,2980.12,0.218
4436.88,5038.66,2951.17,0.356
4652.34,5346.73,3041.99,1.1
4580,5463,3039.5,3.3346
4580,5463,3114.5,2.385
4622.7,5492.55,3017.51,2.5158
4676.89,5342.23,3033.73,1.9306
4583.57,5584.86,2997.7,0.6228
4551.79,5033.35,2892.87,0.9602
4558.23,5458.75,2936.65,0.5688
4622.21,5331.31,3005.19,2.2818
4623.96,5341.31,2980.6,0.933
4580,5463,3114.5,2.385
4275.06,5042.74,2995.43,1.2574
4561.48,5284.26,2970.37,1.5964
4529.14,5164.88,3002.75,1.593
4572,5323,3085.5,2.6582
4580,5463,3114.5,2.385
4565.88,5402.31,2942.96,1.8258
4582.51,5226.81,3006.7,1.8034
4275.06,5042.74,2995.43,1.2574
4570,5184,2818.5,1.0008
4548.46,5585.35,2962.1,0.398
4713.65,5102.77,3043.96,0.9466
4523.34,4982.31,3116.7,0.8342
4598.79,5404.32,3065.88,2.2292
4623.44,5492.81,3067.5,5.7046
4641.83,5283.42,3066.12,0.6198
4572,5323,2685.5,1.0172
4572,5323,3085.5,2.6582
4707.3,5313.38,3065.78,3.029
4565.88,5402.31,2942.96,1.8258
4659.25,5341.92,3016.02,1.841
4572,5323,3035.5,1.0998
4577.02,5308.19,2949.98,1.2588
4592.76,5462.3,3062.88,3.7234
4545.42,5284.43,2951.22,0.8988
4572,5323,3010.5,1.6606
4536.78,5221.47,3045.77,1.161
4588.65,5432.5,3039.5,2.9056
4564.9,5493.19,3065.5,1.707
4653.81,5582.23,2984.81,0.611
4694.53,5342.54,3051.44,2.142
4622.21,5331.31,3005.19,2.2818
4637.24,5642.76,2925.2,0.6106
4432.44,5163.15,3060.11,0.5958
4572,5323,2910.5,1.5258
4580,5463,2989.5,2.2682
4580,5463,3039.5,3.3346
4580,5463,3114.5,2.385
4598.79,5404.32,3065.88,2.2292
4750.7,4923.13,2903.5,0.0782
4777.9,5254.14,2981.33,1.0532
4580,5463,3064.5,5.3898
4588.75,5432.36,3064.5,3.5716
4683.9,5519.79,2871.3,0.4488
4622.7,5492.55,3017.51,2.5158
4609.69,5283.76,3027.82,1.5288
4572,5323,3085.5,2.6582
4693.18,5325.23,3082.67,2.2652
4751.49,5282.58,3025.48,0.9076
4580,5463,2939.5,1.3082
4572,5323,2685.5,1.0172
4648.5,5522.77,3007.12,1.8648
4626.97,5166.21,2909.19,0.7772
4502.96,5546.38,2923.79,0.72
4527.51,4898.06,3064.8,0.6362
4653.41,5642.59,2944.27,0.4924
4565.88,5402.31,2942.96,1.8258
4622.7,5492.55,3017.51,2.5158
4580,5463,2989.5,2.2682
4400.77,5405.58,2949.03,0.3422
4645.43,5280.92,2919.42,0.6542
4580,5463,3039.5,3.3346
4580,5463,3089.5,4.5002
4682.15,5461.78,3060.18,2.3778
4591.81,5166.88,2873.65,1.1614
4570,5184,2918.5,1.6936
4666.03,5103.42,3091.95,0.288
4616.47,5403.39,3083.53,1.65
4595.62,5343.32,3103.34,1.6052
4601.12,5584.61,3015.5,0.8716
4648.5,5522.77,3007.12,1.8648
4583.5,5402.4,2960.69,1.2738
4580,5463,3114.5,2.385
4630.7,5522.67,2989.56,1.5676
4325,5053,3092.5,0.392
4560.04,5523.44,3006.87,1.5002
4571.02,5340.38,2927.48,1.316
4564.9,5493.19,3065.5,1.707
4580,5463,2989.5,2.2682
4460.94,4912.25,2886.77,0.618
4693.18,5325.23,3082.67,2.2652
4448.36,5698.85,2852.83,0.4592
4580,5463,3114.5,2.385
4238.79,5458.36,2964.36,0.3452
4682.15,5461.78,3060.18,2.3778
4468.27,5039.15,2990.08,1.3396
4693.18,5325.23,3082.67,2.2652
4592.08,5315.89,2968.38,1.5588
4652.34,5346.73,3041.99,1.1
4769.16,5282.86,3043.16,0.3168
4485.1,5522.34,3019.45,0.915
4443.23,4912.34,2869.12,0.825
4572,5323,2985.5,1.5392
4721.42,5301.53,3048.89,2.0206
4681.42,5343.17,2943.14,0.797
4458,5399,3082.5,0.918
4580,5463,2789.5,0.8582
4275.06,5042.74,2995.43,1.2574
4710.09,5370.6,2989.5,1.6202
4263.34,5282.35,2973.93,0.1668
4433.59,5523.42,3055.31,0.4066
4693.18,5325.23,3082.67,2.2652
4580,5463,2989.5,2.2682
4580,5463,2989.5,2.2682
4648.5,5522.77,3007.12,1.8648
4598.79,5404.32,3065.88,2.2292
4598.79,5404.32,3065.88,2.2292
4710.09,5370.6,2989.5,1.6202
4663.11,5281.2,2937.1,0.6542
4796.25,5574.93,2912.35,0.2866
4676.89,5342.23,3033.73,1.9306
4564.86,5493.27,3040.5,1.8002
4613.35,5523.81,3059.62,1.0894
4682.15,5461.78,3060.18,2.3778
4502.77,5420.36,2938.37,0.8896
4572,5323,3110.5,1.279
4564.9,5493.19,3065.5,1.707
4598.79,5404.32,3065.88,2.2292
4588.75,5432.36,3064.5,3.5716
4622.7,5492.55,3017.51,2.5158
4554.46,5221.75,3063.45,1.7674
4513.04,5402.03,2889.74,1.254
4583.57,5584.86,2997.7,0.6228
4577.3,5522.39,2936.9,1.109
4570,5184,2918.5,1.6936
4507.19,5403.53,3054.73,0.7954
4520.7,5522.22,3054.56,1.1192
4694.53,5342.54,3051.44,2.142
4443.23,4912.34,2869.12,0.825
4710.01,5370.09,3064.5,0.383
4567.19,4911.7,2992.65,0.1352
4557.37,5460.94,3027.59,1.784
4588.67,5340.69,2945.19,1.253
4694.53,5342.54,3051.44,2.142
4515.3,4891.86,3016.72,0.3094
4715.81,5402.92,2991.81,1.1614
4572,5323,3085.5,2.6582
4666.19,5519.61,2853.65,1.0908
4345,5613,2815.5,0.1412
4707.3,5313.38,3065.78,3.029
4623.44,5492.81,3067.5,5.7046
4575.93,5459.19,2954.3,1.0516
4626.04,5374.95,3090.5,2.094
4588.67,5340.69,2945.19,1.253
4721.42,5301.53,3048.89,2.0206
4564.86,5493.27,3040.5,1.8002
4622.7,5492.55,3017.51,2.5158
4622.21,5331.31,3005.19,2.2818
4645.43,5280.92,2919.42,0.6542
4572,5323,3085.5,2.6582
4694.28,5224,3109.43,0.0964
4622.7,5492.55,3017.51,2.5158
4693.18,5325.23,3082.67,2.2652
4691.72,5429.87,2987.5,2.3
4691.72,5429.87,2987.5,2.3
4335,5336,2732.5,0.7815
4622.7,5492.55,3017.51,2.5158
4693.18,5325.23,3082.67,2.2652
4570,5184,2993.5,1.919
4645.1,5402.8,2921.1,0.5508
4622.7,5492.55,3017.51,2.5158
4598.79,5404.32,3065.88,2.2292
4598.79,5404.32,3065.88,2.2292
4570,5184,2918.5,1.6936
4595.25,5165.49,2970.67,1.5768
4564.9,5493.19,3065.5,1.707
4150.26,5456.97,2876.12,0.1355
4570,5184,2868.5,0.9362
4622.7,5492.55,3017.51,2.5158
4365.3,5406.26,2913.8,0.323
4666.19,5519.61,2853.65,1.0908
4541.7,5522.21,2901.79,1.4148
4588.55,5432.64,3014.5,3.195
4616.47,5403.39,3083.53,1.65
4598.79,5404.32,3065.88,2.2292
4572,5323,3085.5,2.6582
4458,5399,3132.5,0.0244
4626.04,5374.95,3090.5,2.094
4622.7,5492.55,3017.51,2.5158
4698.46,5281.75,2972.45,0.651
4583.5,5402.4,2960.69,1.2738
4580,5463,3014.5,3.219
4682.15,5461.78,3060.18,2.3778
4541.7,5522.21,2901.79,1.4148
4507.71,5344.4,3014.5,0.4578
4572,5323,3085.5,2.6582
4572,5323,3085.5,2.6582
4582.51,5226.81,3006.7,1.8034
4460.94,4912.25,2886.77,0.618
4565.88,5402.31,2942.96,1.8258
4691.72,5429.87,2987.5,2.3
4681.75,5163.83,3060.89,0.5222
4777.9,5254.14,2981.33,1.0532
4659.25,5341.92,3016.02,1.841
4335,5336,3082.5,0.1744
4595.25,5165.49,2970.67,1.5768
4572,5323,3085.5,2.6582
4645.43,5280.92,2919.42,0.6542
4513.04,5402.03,2889.74,1.254
4648.5,5522.77,3007.12,1.8648
4460.94,4912.25,2886.77,0.618
4678.43,5312.56,3071.51,0.8312
4577.02,5308.19,2949.98,1.2588
4490.12,5344.61,2996.73,0.2686
4387.76,5590.63,2917.87,0.12
4593.63,5459.62,2971.94,1.3712
4580,5463,3039.5,3.3346
4622.7,5492.55,3017.51,2.5158
4570,5184,2818.5,1.0008
4693.18,5325.23,3082.67,2.2652
4486.97,5412.82,3011.3,0.576
4645.43,5280.92,2919.42,0.6542
4630.7,5522.67,2989.56,1.5676
4689.19,5402.95,3067.13,0.71
