X,Y,Z,% Cu
4622.7,5492.55,3017.51,2.5158
4558.23,5458.75,2936.65,0.5688
4588.75,5432.36,3064.5,3.5716
4523.34,4982.31,3116.7,0.8342
4595.62,5343.32,3103.34,1.6052
4530.65,5402.12,2907.48,1.4448
4565.88,5402.31,2942.96,1.8258
4660.44,5102.49,2991.11,3.3452
4468.23,5106.53,2900.92,0.574
4345,5613,2840.5,0.1504
4580,5463,3064.5,5.3898
4694.53,5342.54,3051.44,2.142
4659.25,5341.92,3016.02,1.841
4641.6,5341.61,2998.31,4.5122
4694.53,5342.54,3051.44,2.142
4572,5323,3085.5,2.6582
4551.95,4910.45,3160.98,0.113
4709.48,5282,3057.48,0.7938
4572.14,5222.03,3081.13,1.1776
4694.53,5342.54,3051.44,2.142
4580,5463,3014.5,3.219
4571.02,5340.38,2927.48,1.316
4580,5463,3064.5,5.3898
4580,5463,3064.5,5.3898
4565.88,5402.31,2942.96,1.8258
4682.15,5461.78,3060.18,2.3778
4570,5184,3018.5,1.2138
4691.72,5429.87,2987.5,2.3
4707.3,5313.38,3065.78,3.029
4580,5463,3064.5,5.3898
4698.46,5281.75,2972.45,0.651
4626.04,5374.95,3090.5,2.094
4622.7,5492.55,3017.51,2.5158
4580,5463,3039.5,3.3346
4578.04,5343.54,3085.57,1.7028
4572.14,5222.03,3081.13,1.1776
4675.7,5464,2972.56,1.1312
4580,5463,3089.5,4.5002
4630.7,5522.67,2989.56,1.5676
4580,5463,3014.5,3.219
4580,5463,3089.5,4.5002
4572,5323,3085.5,2.6582
4572,5323,3085.5,2.6582
4345,5613,2815.5,0.1412
4577.02,5308.19,2949.98,1.2588
4580,5463,3039.5,3.3346
4588.65,5432.5,3039.5,2.9056
4310.1,5042.8,3031.1,0.395
4623.44,5492.81,3067.5,5.7046
4580,5463,3039.5,3.3346
4572,5323,2910.5,1.5258
4707.3,5313.38,3065.78,3.029
4580,5463,3064.5,5.3898
4581.1,5405.24,3048.24,2.982
4565.88,5402.31,2942.96,1.8258
4623.44,5492.81,3067.5,5.7046
4694.53,5342.54,3051.44,2.142
4580,5463,2939.5,1.3082
4560.04,5523.44,3006.87,1.5002
4580,5463,2939.5,1.3082
4548.46,5585.35,2962.1,0.398
4564.9,5493.19,3065.5,1.707
4627.7,5523.81,2906.51,1.31
4707.3,5313.38,3065.78,3.029
4588.75,5432.36,3064.5,3.5716
4460.94,4912.25,2886.77,0.618
4721.42,5301.53,3048.89,2.0206
4335,5336,2732.5,0.7815
4572,5323,2760.5,0.7654
4572,5323,3085.5,2.6582
4588.65,5432.5,3039.5,2.9056
4275.06,5042.74,2995.43,1.2574
4577.3,5522.39,2936.9,1.109
4564.86,5493.27,3040.5,1.8002
4488.96,5522.95,2936.53,0.4726
4630.07,5103.99,3057.22,0.4338
4581.1,5405.24,3048.24,2.982
4580,5463,3089.5,4.5002
4506.73,5523.07,2954.11,0.5206
4641.6,5341.61,2998.31,4.5122
4623.44,5492.81,3067.5,5.7046
4572,5323,3060.5,3.5134
4468.27,5039.15,2990.08,1.3396
4572,5323,3060.5,3.5134
4660.44,5102.49,2991.11,3.3452
4592.76,5462.3,3062.88,3.7234
4580,5463,3039.5,3.3346
4603.83,5746.64,2969.54,0.4038
4906.96,4631.82,2918.4,0.066
4622.7,5492.55,3017.51,2.5158
4595.62,5343.32,3103.34,1.6052
4581.1,5405.24,3048.24,2.982
4592.76,5462.3,3062.88,3.7234
4581.1,5405.24,3048.24,2.982
4626.97,5166.21,2909.19,0.7772
4577.02,5308.19,2949.98,1.2588
4580,5463,3014.5,3.219
4693.18,5325.23,3082.67,2.2652
4572,5323,3085.5,2.6582
4572,5323,2985.5,1.5392
4572,5323,3060.5,3.5134
4563.83,5463,3118.76,0.0136
4345,5613,2740.5,0.0558
4641.6,5341.61,2998.31,4.5122
4622.7,5492.55,3017.51,2.5158
4680.45,5402.86,2956.45,0.6738
4560.73,5162.3,3101.88,0.9272
4666.9,5312.91,3101.64,0.0872
4623.44,5492.81,3067.5,5.7046
4588.75,5432.36,3064.5,3.5716
4622.7,5492.55,3017.51,2.5158
4539.68,5460.26,3009.94,1.3428
4484.76,4876.36,2896.5,0.4606
4623.44,5492.81,3067.5,5.7046
4600.28,5226.54,3024.28,1.3202
4592.76,5462.3,3062.88,3.7234
4513.04,5583.4,3104.62,0.0214
4583.5,5402.4,2960.69,1.2738
4263.34,5282.35,2973.93,0.1668
4729.1,5464,3025.22,0.1832
4622.7,5492.55,3017.51,2.5158
4580,5463,3014.5,3.219
4500.45,5339.15,2856.64,0.5335
4572,5323,3085.5,2.6582
4580,5463,3064.5,5.3898
4646.88,4983.43,2877.14,0.9259
4150.26,5456.97,2876.12,0.1355
4531.83,5285.06,2894.77,0.3888
4564.86,5493.27,3040.5,1.8002
4598.79,5404.32,3065.88,2.2292
4691.88,5429.37,3037.5,0.8418
4623.44,5492.81,3067.5,5.7046
4572,5323,3060.5,3.5134
4257.53,5042.71,2977.6,0.6782
4572,5323,2835.5,0.626
4588.73,5643.27,2868,0.213
4523.34,4982.31,3116.7,0.8342
4572,5323,3085.5,2.6582
4694.53,5342.54,3051.44,2.142
4622.7,5492.55,3017.51,2.5158
4623.44,5492.81,3067.5,5.7046
4556.65,5167.56,2838.11,1.0052
4581.1,5405.24,3048.24,2.982
4588.65,5432.5,3039.5,2.9056
4567.19,4911.7,2992.65,0.1352
4623.44,5492.81,3067.5,5.7046
4710.09,5370.6,2989.5,1.6202
4588.65,5432.5,3039.5,2.9056
4623.44,5492.81,3067.5,5.7046
4582.51,5226.81,3006.7,1.8034
4592.08,5315.89,2968.38,1.5588
4659.25,5341.92,3016.02,1.841
4676.89,5342.23,3033.73,1.9306
4582.51,5226.81,3006.7,1.8034
4581.1,5405.24,3048.24,2.982
4622.7,5492.55,3017.51,2.5158
4622.21,5331.31,3005.19,2.2818
4327.63,5042.83,3048.93,0.4264
4502.96,5546.38,2923.79,0.72
4638.02,4911.32,3063.24,0.0766
4580,5463,3039.5,3.3346
4572,5323,2910.5,1.5258
4684.1,5522.95,3042.22,0.7038
4572,5323,2985.5,1.5392
4693.18,5325.23,3082.67,2.2652
4472.54,4870.17,2848.41,0.3828
4694.53,5342.54,3051.44,2.142
4572,5323,3085.5,2.6582
4581.1,5405.24,3048.24,2.982
4682.15,5461.78,3060.18,2.3778
4557.37,5460.94,3027.59,1.784
4679.72,5165.19,2962.5,0.429
4645.43,5280.92,2919.42,0.6542
4622.7,5492.55,3017.51,2.5158
4674.13,5282,3022.13,1.1746
4580,5463,3064.5,5.3898
4588.55,5432.64,3014.5,3.195
4648.5,5522.77,3007.12,1.8648
4580,5463,3114.5,2.385
4578.04,5343.54,3085.57,1.7028
4498.28,5279.84,3032.27,0.3706
4684.01,5103.14,3109.32,0.0364
4618.71,5224,2924.25,0.9572
4598.79,5404.32,3065.88,2.2292
4670.55,5578.04,2841.35,0.2836
4721.42,5301.53,3048.89,2.0206
4275.06,5042.74,2995.43,1.2574
4610.46,5462.98,3080.53,2.8036
4580,5463,3114.5,2.385
4580,5463,3114.5,2.385
4557.37,5460.94,3027.59,1.784
4580,5463,3064.5,5.3898
4609.74,5402.74,2885.74,0.681
4580,5463,3064.5,5.3898
4593.63,5459.62,2971.94,1.3712
4616.47,5403.39,3083.53,1.65
4572,5323,3110.5,1.279
4623.44,5492.81,3067.5,5.7046
4662.77,5402.83,2938.77,0.5598
