X,Y,Z
4300,4800,3175
4350,4800,3175
4400,4800,3175
4450,4800,3175
4500,4800,3175
4550,4800,3175
4600,4800,3175
4650,4800,3175
4700,4800,3175
4750,4800,3175
4800,4800,3175
4850,4800,3175
4300,4850,3175
4350,4850,3175
4400,4850,3175
4450,4850,3175
4500,4850,3175
4550,4850,3175
4600,4850,3175
4650,4850,3175
4700,4850,3175
4750,4850,3175
4800,4850,3175
4850,4850,3175
4300,4900,3175
4350,4900,3175
4400,4900,3175
4450,4900,3175
4500,4900,3175
4550,4900,3175
4600,4900,3175
4650,4900,3175
4700,4900,3175
4750,4900,3175
4800,4900,3175
4850,4900,3175
4300,4950,3175
4350,4950,3175
4400,4950,3175
4450,4950,3175
4500,4950,3175
4550,4950,3175
4600,4950,3175
4650,4950,3175
4700,4950,3175
4750,4950,3175
4800,4950,3175
4850,4950,3175
4300,5000,3175
4350,5000,3175
4400,5000,3175
4450,5000,3175
4500,5000,3175
4550,5000,3175
4600,5000,3175
4650,5000,3175
4700,5000,3175
4750,5000,3175
4800,5000,3175
4850,5000,3175
4300,5050,3175
4350,5050,3175
4400,5050,3175
4450,5050,3175
4500,5050,3175
4550,5050,3175
4600,5050,3175
4650,5050,3175
4700,5050,3175
4750,5050,3175
4800,5050,3175
4850,5050,3175
4300,5100,3175
4350,5100,3175
4400,5100,3175
4450,5100,3175
4500,5100,3175
4550,5100,3175
4600,5100,3175
4650,5100,3175
4700,5100,3175
4750,5100,3175
4800,5100,3175
4850,5100,3175
4300,5150,3175
4350,5150,3175
4400,5150,3175
4450,5150,3175
4500,5150,3175
4550,5150,3175
4600,5150,3175
4650,5150,3175
4700,5150,3175
4750,5150,3175
4800,5150,3175
4850,5150,3175
4300,5200,3175
4350,5200,3175
4400,5200,3175
4450,5200,3175
4500,5200,3175
4550,5200,3175
4600,5200,3175
4650,5200,3175
4700,5200,3175
4750,5200,3175
4800,5200,3175
4850,5200,3175
4300,5250,3175
4350,5250,3175
4400,5250,3175
4450,5250,3175
4500,5250,3175
4550,5250,3175
4600,5250,3175
4650,5250,3175
4700,5250,3175
4750,5250,3175
4800,5250,3175
4850,5250,3175
4300,5300,3175
4350,5300,3175
4400,5300,3175
4450,5300,3175
4500,5300,3175
4550,5300,3175
4600,5300,3175
4650,5300,3175
4700,5300,3175
4750,5300,3175
4800,5300,3175
4850,5300,3175
4300,5350,3175
4350,5350,3175
4400,5350,3175
4450,5350,3175
4500,5350,3175
4550,5350,3175
4600,5350,3175
4650,5350,3175
4700,5350,3175
4750,5350,3175
4800,5350,3175
4850,5350,3175
4300,5400,3175
4350,5400,3175
4400,5400,3175
4450,5400,3175
4500,5400,3175
4550,5400,3175
4600,5400,3175
4650,5400,3175
4700,5400,3175
4750,5400,3175
4800,5400,3175
4850,5400,3175
4300,5450,3175
4350,5450,3175
4400,5450,3175
4450,5450,3175
4500,5450,3175
4550,5450,3175
4600,5450,3175
4650,5450,3175
4700,5450,3175
4750,5450,3175
4800,5450,3175
4850,5450,3175
4300,5500,3175
4350,5500,3175
4400,5500,3175
4450,5500,3175
4500,5500,3175
4550,5500,3175
4600,5500,3175
4650,5500,3175
4700,5500,3175
4750,5500,3175
4800,5500,3175
4850,5500,3175
4300,5550,3175
4350,5550,3175
4400,5550,3175
4450,5550,3175
4500,5550,3175
4550,5550,3175
4600,5550,3175
4650,5550,3175
4700,5550,3175
4750,5550,3175
4800,5550,3175
4850,5550,3175
4300,5600,3175
4350,5600,3175
4400,5600,3175
4450,5600,3175
4500,5600,3175
4550,5600,3175
4600,5600,3175
4650,5600,3175
4700,5600,3175
4750,5600,3175
4800,5600,3175
4850,5600,3175
4300,5650,3175
4350,5650,3175
4400,5650,3175
4450,5650,3175
4500,5650,3175
4550,5650,3175
4600,5650,3175
4650,5650,3175
4700,5650,3175
4750,5650,3175
4800,5650,3175
4850,5650,3175
4300,5700,3175
4350,5700,3175
4400,5700,3175
4450,5700,3175
4500,5700,3175
4550,5700,3175
4600,5700,3175
4650,5700,3175
4700,5700,3175
4750,5700,3175
4800,5700,3175
4850,5700,3175
4300,5750,3175
4350,5750,3175
4400,5750,3175
4450,5750,3175
4500,5750,3175
4550,5750,3175
4600,5750,3175
4650,5750,3175
4700,5750,3175
4750,5750,3175
4800,5750,3175
4850,5750,3175
4300,4800,3150
4350,4800,3150
4400,4800,3150
4450,4800,3150
4500,4800,3150
4550,4800,3150
4600,4800,3150
4650,4800,3150
4700,4800,3150
4750,4800,3150
4800,4800,3150
4850,4800,3150
4300,4850,3150
4350,4850,3150
4400,4850,3150
4450,4850,3150
4500,4850,3150
4550,4850,3150
4600,4850,3150
4650,4850,3150
4700,4850,3150
4750,4850,3150
4800,4850,3150
4850,4850,3150
4300,4900,3150
4350,4900,3150
4400,4900,3150
4450,4900,3150
4500,4900,3150
4550,4900,3150
4600,4900,3150
4650,4900,3150
4700,4900,3150
4750,4900,3150
4800,4900,3150
4850,4900,3150
4300,4950,3150
4350,4950,3150
4400,4950,3150
4450,4950,3150
4500,4950,3150
4550,4950,3150
4600,4950,3150
4650,4950,3150
4700,4950,3150
4750,4950,3150
4800,4950,3150
4850,4950,3150
4300,5000,3150
4350,5000,3150
4400,5000,3150
4450,5000,3150
4500,5000,3150
4550,5000,3150
4600,5000,3150
4650,5000,3150
4700,5000,3150
4750,5000,3150
4800,5000,3150
4850,5000,3150
4300,5050,3150
4350,5050,3150
4400,5050,3150
4450,5050,3150
4500,5050,3150
4550,5050,3150
4600,5050,3150
4650,5050,3150
4700,5050,3150
4750,5050,3150
4800,5050,3150
4850,5050,3150
4300,5100,3150
4350,5100,3150
4400,5100,3150
4450,5100,3150
4500,5100,3150
4550,5100,3150
4600,5100,3150
4650,5100,3150
4700,5100,3150
4750,5100,3150
4800,5100,3150
4850,5100,3150
4300,5150,3150
4350,5150,3150
4400,5150,3150
4450,5150,3150
4500,5150,3150
4550,5150,3150
4600,5150,3150
4650,5150,3150
4700,5150,3150
4750,5150,3150
4800,5150,3150
4850,5150,3150
4300,5200,3150
4350,5200,3150
4400,5200,3150
4450,5200,3150
4500,5200,3150
4550,5200,3150
4600,5200,3150
4650,5200,3150
4700,5200,3150
4750,5200,3150
4800,5200,3150
4850,5200,3150
4300,5250,3150
4350,5250,3150
4400,5250,3150
4450,5250,3150
4500,5250,3150
4550,5250,3150
4600,5250,3150
4650,5250,3150
4700,5250,3150
4750,5250,3150
4800,5250,3150
4850,5250,3150
4300,5300,3150
4350,5300,3150
4400,5300,3150
4450,5300,3150
4500,5300,3150
4550,5300,3150
4600,5300,3150
4650,5300,3150
4700,5300,3150
4750,5300,3150
4800,5300,3150
4850,5300,3150
4300,5350,3150
4350,5350,3150
4400,5350,3150
4450,5350,3150
4500,5350,3150
4550,5350,3150
4600,5350,3150
4650,5350,3150
4700,5350,3150
4750,5350,3150
4800,5350,3150
4850,5350,3150
4300,5400,3150
4350,5400,3150
4400,5400,3150
4450,5400,3150
4500,5400,3150
4550,5400,3150
4600,5400,3150
4650,5400,3150
4700,5400,3150
4750,5400,3150
4800,5400,3150
4850,5400,3150
4300,5450,3150
4350,5450,3150
4400,5450,3150
4450,5450,3150
4500,5450,3150
4550,5450,3150
4600,5450,3150
4650,5450,3150
4700,5450,3150
4750,5450,3150
4800,5450,3150
4850,5450,3150
4300,5500,3150
4350,5500,3150
4400,5500,3150
4450,5500,3150
4500,5500,3150
4550,5500,3150
4600,5500,3150
4650,5500,3150
4700,5500,3150
4750,5500,3150
4800,5500,3150
4850,5500,3150
4300,5550,3150
4350,5550,3150
4400,5550,3150
4450,5550,3150
4500,5550,3150
4550,5550,3150
4600,5550,3150
4650,5550,3150
4700,5550,3150
4750,5550,3150
4800,5550,3150
4850,5550,3150
4300,5600,3150
4350,5600,3150
4400,5600,3150
4450,5600,3150
4500,5600,3150
4550,5600,3150
4600,5600,3150
4650,5600,3150
4700,5600,3150
4750,5600,3150
4800,5600,3150
4850,5600,3150
4300,5650,3150
4350,5650,3150
4400,5650,3150
4450,5650,3150
4500,5650,3150
4550,5650,3150
4600,5650,3150
4650,5650,3150
4700,5650,3150
4750,5650,3150
4800,5650,3150
4850,5650,3150
4300,5700,3150
4350,5700,3150
4400,5700,3150
4450,5700,3150
4500,5700,3150
4550,5700,3150
4600,5700,3150
4650,5700,3150
4700,5700,3150
4750,5700,3150
4800,5700,3150
4850,5700,3150
4300,5750,3150
4350,5750,3150
4400,5750,3150
4450,5750,3150
4500,5750,3150
4550,5750,3150
4600,5750,3150
4650,5750,3150
4700,5750,3150
4750,5750,3150
4800,5750,3150
4850,5750,3150
4300,4800,3125
4350,4800,3125
4400,4800,3125
4450,4800,3125
4500,4800,3125
4550,4800,3125
4600,4800,3125
4650,4800,3125
4700,4800,3125
4750,4800,3125
4800,4800,3125
4850,4800,3125
4300,4850,3125
4350,4850,3125
4400,4850,3125
4450,4850,3125
4500,4850,3125
4550,4850,3125
4600,4850,3125
4650,4850,3125
4700,4850,3125
4750,4850,3125
4800,4850,3125
4850,4850,3125
4300,4900,3125
4350,4900,3125
4400,4900,3125
4450,4900,3125
4500,4900,3125
4550,4900,3125
4600,4900,3125
4650,4900,3125
4700,4900,3125
4750,4900,3125
4800,4900,3125
4850,4900,3125
4300,4950,3125
4350,4950,3125
4400,4950,3125
4450,4950,3125
4500,4950,3125
4550,4950,3125
4600,4950,3125
4650,4950,3125
4700,4950,3125
4750,4950,3125
4800,4950,3125
4850,4950,3125
4300,5000,3125
4350,5000,3125
4400,5000,3125
4450,5000,3125
4500,5000,3125
4550,5000,3125
4600,5000,3125
4650,5000,3125
4700,5000,3125
4750,5000,3125
4800,5000,3125
4850,5000,3125
4300,5050,3125
4350,5050,3125
4400,5050,3125
4450,5050,3125
4500,5050,3125
4550,5050,3125
4600,5050,3125
4650,5050,3125
4700,5050,3125
4750,5050,3125
4800,5050,3125
4850,5050,3125
4300,5100,3125
4350,5100,3125
4400,5100,3125
4450,5100,3125
4500,5100,3125
4550,5100,3125
4600,5100,3125
4650,5100,3125
4700,5100,3125
4750,5100,3125
4800,5100,3125
4850,5100,3125
4300,5150,3125
4350,5150,3125
4400,5150,3125
4450,5150,3125
4500,5150,3125
4550,5150,3125
4600,5150,3125
4650,5150,3125
4700,5150,3125
4750,5150,3125
4800,5150,3125
4850,5150,3125
4300,5200,3125
4350,5200,3125
4400,5200,3125
4450,5200,3125
4500,5200,3125
4550,5200,3125
4600,5200,3125
4650,5200,3125
4700,5200,3125
4750,5200,3125
4800,5200,3125
4850,5200,3125
4300,5250,3125
4350,5250,3125
4400,5250,3125
4450,5250,3125
4500,5250,3125
4550,5250,3125
4600,5250,3125
4650,5250,3125
4700,5250,3125
4750,5250,3125
4800,5250,3125
4850,5250,3125
4300,5300,3125
4350,5300,3125
4400,5300,3125
4450,5300,3125
4500,5300,3125
4550,5300,3125
4600,5300,3125
4650,5300,3125
4700,5300,3125
4750,5300,3125
4800,5300,3125
4850,5300,3125
4300,5350,3125
4350,5350,3125
4400,5350,3125
4450,5350,3125
4500,5350,3125
4550,5350,3125
4600,5350,3125
4650,5350,3125
4700,5350,3125
4750,5350,3125
4800,5350,3125
4850,5350,3125
4300,5400,3125
4350,5400,3125
4400,5400,3125
4450,5400,3125
4500,5400,3125
4550,5400,3125
4600,5400,3125
4650,5400,3125
4700,5400,3125
4750,5400,3125
4800,5400,3125
4850,5400,3125
4300,5450,3125
4350,5450,3125
4400,5450,3125
4450,5450,3125
4500,5450,3125
4550,5450,3125
4600,5450,3125
4650,5450,3125
4700,5450,3125
4750,5450,3125
4800,5450,3125
4850,5450,3125
4300,5500,3125
4350,5500,3125
4400,5500,3125
4450,5500,3125
4500,5500,3125
4550,5500,3125
4600,5500,3125
4650,5500,3125
4700,5500,3125
4750,5500,3125
4800,5500,3125
4850,5500,3125
4300,5550,3125
4350,5550,3125
4400,5550,3125
4450,5550,3125
4500,5550,3125
4550,5550,3125
4600,5550,3125
4650,5550,3125
4700,5550,3125
4750,5550,3125
4800,5550,3125
4850,5550,3125
4300,5600,3125
4350,5600,3125
4400,5600,3125
