X,Y,Z,ANN
4350,4850,3075,0.35
4400,4850,3075,0.32
4450,4850,3075,0.63
4500,4850,3075,0.68
4550,4850,3075,0.55
4600,4850,3075,0.44
4650,4850,3075,0.35
4700,4850,3075,0.26
4750,4850,3075,0.17
4350,4900,3075,0.37
4400,4900,3075,0.35
4450,4900,3075,0.55
4500,4900,3075,0.82
4550,4900,3075,0.7
4600,4900,3075,0.56
4650,4900,3075,0.41
4700,4900,3075,0.27
4750,4900,3075,0.18
4800,4900,3075,0.12
4350,4950,3075,0.38
4400,4950,3075,0.38
4450,4950,3075,0.51
4500,4950,3075,1
4550,4950,3075,0.86
4600,4950,3075,0.68
4650,4950,3075,0.46
4700,4950,3075,0.33
4750,4950,3075,0.24
4800,4950,3075,0.16
4350,5000,3075,0.39
4400,5000,3075,0.41
4450,5000,3075,0.49
4500,5000,3075,1.22
4550,5000,3075,1.01
4600,5000,3075,0.79
4650,5000,3075,0.6
4700,5000,3075,0.44
4750,5000,3075,0.32
4800,5000,3075,0.22
4350,5050,3075,0.4
4400,5050,3075,0.42
4450,5050,3075,0.48
4500,5050,3075,1.44
4550,5050,3075,1.21
4600,5050,3075,0.96
4650,5050,3075,0.74
4700,5050,3075,0.57
4750,5050,3075,0.43
4800,5050,3075,0.39
4350,5100,3075,0.4
4400,5100,3075,0.44
4450,5100,3075,0.5
4500,5100,3075,1.84
4550,5100,3075,1.47
4600,5100,3075,1.15
4650,5100,3075,0.84
4700,5100,3075,0.68
4750,5100,3075,0.57
4800,5100,3075,0.64
4350,5150,3075,0.4
4400,5150,3075,0.48
4450,5150,3075,0.57
4500,5150,3075,2.29
4550,5150,3075,1.75
4600,5150,3075,1.35
4650,5150,3075,0.97
4700,5150,3075,0.76
4750,5150,3075,0.86
4800,5150,3075,0.84
4350,5200,3075,0.44
4400,5200,3075,0.51
4450,5200,3075,0.61
4500,5200,3075,1.74
4550,5200,3075,2.12
4600,5200,3075,1.56
4650,5200,3075,1.12
4700,5200,3075,0.8
4750,5200,3075,1.24
4800,5200,3075,0.91
4350,5250,3075,0.49
4400,5250,3075,0.57
4450,5250,3075,0.62
4500,5250,3075,1.32
4550,5250,3075,2.55
4600,5250,3075,1.9
4650,5250,3075,1.3
4700,5250,3075,0.93
4750,5250,3075,1.13
4800,5250,3075,-2
4350,5300,3075,0.52
4400,5300,3075,0.63
4450,5300,3075,0.72
4500,5300,3075,1.03
4550,5300,3075,2.77
4600,5300,3075,1.92
4650,5300,3075,1.27
4700,5300,3075,1.09
4750,5300,3075,0.91
4800,5300,3075,-2
4350,5350,3075,0.55
4400,5350,3075,0.69
4450,5350,3075,0.81
4500,5350,3075,0.95
4550,5350,3075,2.83
4600,5350,3075,1.88
4650,5350,3075,1.3
4700,5350,3075,1.2
4750,5350,3075,-2
4800,5350,3075,-2
4350,5400,3075,0.55
4400,5400,3075,0.72
4450,5400,3075,0.8
4500,5400,3075,0.88
4550,5400,3075,3.68
4600,5400,3075,2.02
4650,5400,3075,1.44
4700,5400,3075,1.18
4750,5400,3075,-2
4350,5450,3075,0.51
4400,5450,3075,0.67
4450,5450,3075,0.75
4500,5450,3075,0.8
4550,5450,3075,4.47
4600,5450,3075,2.76
4650,5450,3075,1.72
4700,5450,3075,-2
4750,5450,3075,-2
4350,5500,3075,0.44
4400,5500,3075,0.57
4450,5500,3075,0.66
4500,5500,3075,0.71
4550,5500,3075,3.27
4600,5500,3075,3.56
4650,5500,3075,1.97
4700,5500,3075,-2
4750,5500,3075,-2
4350,5550,3075,0.36
4400,5550,3075,0.46
4450,5550,3075,0.54
4500,5550,3075,0.58
4550,5550,3075,1.35
4600,5550,3075,2.24
4650,5550,3075,-2
4700,5550,3075,-2
4350,5600,3075,0.29
4400,5600,3075,0.35
4450,5600,3075,0.41
4500,5600,3075,0.44
4550,5600,3075,0.44
4600,5600,3075,-2
4650,5600,3075,-2
4700,5600,3075,-2
4350,5650,3075,0.23
4400,5650,3075,0.27
4450,5650,3075,0.31
4500,5650,3075,0.33
4550,5650,3075,-2
4600,5650,3075,-2
4650,5650,3075,-2
4400,5700,3075,0.21
4450,5700,3075,-2
4500,5700,3075,-2
4550,5700,3075,-2
