X,Y,Z,Ann
4350,4850,3050,0.58
4400,4850,3050,0.63
4450,4850,3050,0.75
4500,4850,3050,0.82
4550,4850,3050,0.64
4600,4850,3050,0.48
4650,4850,3050,0.35
4700,4850,3050,0.26
4350,4900,3050,0.62
4400,4900,3050,0.67
4450,4900,3050,0.81
4500,4900,3050,0.93
4550,4900,3050,0.73
4600,4900,3050,0.56
4650,4900,3050,0.42
4700,4900,3050,0.31
4350,4950,3050,0.65
4400,4950,3050,0.71
4450,4950,3050,0.87
4500,4950,3050,1.06
4550,4950,3050,0.84
4600,4950,3050,0.64
4650,4950,3050,0.49
4700,4950,3050,0.36
4750,4950,3050,0.27
4800,4950,3050,0.21
4350,5000,3050,0.68
4400,5000,3050,0.74
4450,5000,3050,0.93
4500,5000,3050,1.21
4550,5000,3050,0.97
4600,5000,3050,0.74
4650,5000,3050,0.56
4700,5000,3050,0.43
4750,5000,3050,0.34
4800,5000,3050,0.28
4350,5050,3050,0.7
4400,5050,3050,0.78
4450,5050,3050,0.97
4500,5050,3050,1.33
4550,5050,3050,1.11
4600,5050,3050,0.86
4650,5050,3050,0.67
4700,5050,3050,0.54
4750,5050,3050,0.44
4800,5050,3050,0.36
4350,5100,3050,0.68
4400,5100,3050,0.81
4450,5100,3050,1.02
4500,5100,3050,1.46
4550,5100,3050,1.27
4600,5100,3050,1.03
4650,5100,3050,0.85
4700,5100,3050,0.7
4750,5100,3050,0.57
4800,5100,3050,0.49
4350,5150,3050,0.66
4400,5150,3050,0.79
4450,5150,3050,1.06
4500,5150,3050,1.58
4550,5150,3050,1.54
4600,5150,3050,1.31
4650,5150,3050,1.09
4700,5150,3050,0.89
4750,5150,3050,0.73
4800,5150,3050,0.68
4350,5200,3050,0.63
4400,5200,3050,0.75
4450,5200,3050,1.03
4500,5200,3050,1.76
4550,5200,3050,1.94
4600,5200,3050,1.64
4650,5200,3050,1.37
4700,5200,3050,1.13
4750,5200,3050,1.01
4800,5200,3050,0.9
4350,5250,3050,0.59
4400,5250,3050,0.72
4450,5250,3050,1.06
4500,5250,3050,1.84
4550,5250,3050,2.36
4600,5250,3050,2.05
4650,5250,3050,1.71
4700,5250,3050,1.48
4750,5250,3050,1.32
4800,5250,3050,1.07
4350,5300,3050,0.58
4400,5300,3050,0.73
4450,5300,3050,1.04
4500,5300,3050,1.88
4550,5300,3050,2.66
4600,5300,3050,2.43
4650,5300,3050,2.11
4700,5300,3050,1.91
4750,5300,3050,1.59
4800,5300,3050,1.07
4350,5350,3050,0.58
4400,5350,3050,0.73
4450,5350,3050,1.02
4500,5350,3050,1.92
4550,5350,3050,2.92
4600,5350,3050,2.79
4650,5350,3050,2.55
4700,5350,3050,2.22
4750,5350,3050,1.59
4350,5400,3050,0.57
4400,5400,3050,0.73
4450,5400,3050,1
4500,5400,3050,1.8
4550,5400,3050,3.2
4600,5400,3050,3.18
4650,5400,3050,2.93
4700,5400,3050,2.08
4350,5450,3050,0.55
4400,5450,3050,0.72
4450,5450,3050,0.97
4500,5450,3050,1.68
4550,5450,3050,3.52
4600,5450,3050,3.46
4650,5450,3050,2.7
4700,5450,3050,1.84
4350,5500,3050,0.51
4400,5500,3050,0.67
4450,5500,3050,0.88
4500,5500,3050,1.48
4550,5500,3050,3.39
4600,5500,3050,3.18
4650,5500,3050,2.36
4700,5500,3050,1.56
4350,5550,3050,0.47
4400,5550,3050,0.62
4450,5550,3050,0.78
4500,5550,3050,1.21
4550,5550,3050,2.34
4600,5550,3050,2.48
4650,5550,3050,1.9
4350,5600,3050,0.43
4400,5600,3050,0.56
4450,5600,3050,0.69
4500,5600,3050,0.92
4550,5600,3050,1.46
4600,5600,3050,1.58
4650,5600,3050,1.32
4350,5650,3050,0.38
4400,5650,3050,0.49
4450,5650,3050,0.57
4500,5650,3050,0.67
4550,5650,3050,0.92
4350,5700,3050,0.33
4400,5700,3050,0.41
4450,5700,3050,0.45
4500,5700,3050,0.49
