X,Y,IDS
4300,4800,-2
4350,4800,0
4400,4800,0
4450,4800,0
4500,4800,0
4550,4800,0
4600,4800,0.05
4650,4800,0.05
4700,4800,0.05
4750,4800,0.05
4800,4800,0.05
4850,4800,0.05
4300,4850,0
4350,4850,0
4400,4850,0
4450,4850,0
4500,4850,0
4550,4850,0
4600,4850,0.05
4650,4850,0.05
4700,4850,0.05
4750,4850,0.05
4800,4850,0.05
4300,4900,0.51
4350,4900,0.51
4400,4900,0.51
4450,4900,0.51
4500,4900,0
4550,4900,0
4600,4900,0.05
4650,4900,0.05
4700,4900,0.05
4750,4900,0.05
4300,4950,0.51
4350,4950,0.51
4400,4950,0.51
4450,4950,0.51
4500,4950,0
4550,4950,0
4600,4950,0.05
4650,4950,0.05
4700,4950,0.05
4300,5000,0.51
4350,5000,0.51
4400,5000,0.51
4450,5000,0.51
4500,5000,0.58
4550,5000,0.67
4600,5000,0.33
4650,5000,0.05
4300,5050,0.51
4350,5050,0.51
4400,5050,0.51
4450,5050,0.56
4500,5050,0.6
4550,5050,0.67
4600,5050,0.47
4300,5100,0.51
4350,5100,0.51
4400,5100,0.54
4450,5100,0.58
4500,5100,0.63
4550,5100,0.67
4300,5150,0.43
4350,5150,0.43
4400,5150,0.48
4450,5150,0.61
4500,5150,1.07
4300,5200,0.33
4350,5200,0.33
4400,5200,0.43
4450,5200,1.08
4300,5250,0.24
4350,5250,0.33
4400,5250,0.9
4300,5300,0.22
4350,5300,0.22
4300,5350,0.21
