X,Y,Z,IDS
4350,4850,3050,0.61
4400,4850,3050,0.61
4450,4850,3050,0.61
4500,4850,3050,0.61
4550,4850,3050,0.61
4600,4850,3050,0.61
4650,4850,3050,0.61
4700,4850,3050,0.61
4350,4900,3050,0.61
4400,4900,3050,0.71
4450,4900,3050,0.84
4500,4900,3050,0.4
4550,4900,3050,0.61
4600,4900,3050,0.61
4650,4900,3050,0.68
4700,4900,3050,0.74
4350,4950,3050,0.84
4400,4950,3050,0.58
4450,4950,3050,0.46
4500,4950,3050,0.32
4550,4950,3050,0.61
4600,4950,3050,0.65
4650,4950,3050,0.71
4700,4950,3050,0.78
4750,4950,3050,0.84
4800,4950,3050,0.84
4350,5000,3050,0.84
4400,5000,3050,0.51
4450,5000,3050,0.39
4500,5000,3050,0.5
4550,5000,3050,0.57
4600,5000,3050,0.75
4650,5000,3050,1.08
4700,5000,3050,0.92
4750,5000,3050,0.94
4800,5000,3050,1.12
4350,5050,3050,0.84
4400,5050,3050,0.84
4450,5050,3050,0.36
4500,5050,3050,0.5
4550,5050,3050,0.93
4600,5050,3050,1.17
4650,5050,3050,0.92
4700,5050,3050,0.98
4750,5050,3050,1.31
4800,5050,3050,1.51
4350,5100,3050,0.84
4400,5100,3050,0.26
4450,5100,3050,0.69
4500,5100,3050,1
4550,5100,3050,1.33
4600,5100,3050,1.52
4650,5100,3050,1.63
4700,5100,3050,1.68
4750,5100,3050,1.71
4800,5100,3050,1.72
4350,5150,3050,0.5
4400,5150,3050,1
4450,5150,3050,1.53
4500,5150,3050,2.29
4550,5150,3050,2.26
4600,5150,3050,2.12
4650,5150,3050,1.85
4700,5150,3050,2.08
4750,5150,3050,1.81
4800,5150,3050,0.45
4350,5200,3050,0.9
4400,5200,3050,1.53
4450,5200,3050,2.28
4500,5200,3050,2.14
4550,5200,3050,1.96
4600,5200,3050,2.27
4650,5200,3050,2.03
4700,5200,3050,0.24
4750,5200,3050,0.7
4800,5200,3050,0.47
4350,5250,3050,1.16
4400,5250,3050,2.42
4450,5250,3050,2.25
4500,5250,3050,2.06
4550,5250,3050,2.37
4600,5250,3050,0.26
4650,5250,3050,0.72
4700,5250,3050,1.01
4750,5250,3050,1.92
4800,5250,3050,3.47
4350,5300,3050,3.69
4400,5300,3050,2.8
4450,5300,3050,2.71
4500,5300,3050,0.21
4550,5300,3050,0.81
4600,5300,3050,1.37
4650,5300,3050,2.27
4700,5300,3050,3.39
4750,5300,3050,3.55
4800,5300,3050,3.28
4350,5350,3050,3.05
4400,5350,3050,0.63
4450,5350,3050,1.25
4500,5350,3050,2.07
4550,5350,3050,3.01
4600,5350,3050,3.54
4650,5350,3050,3.36
4700,5350,3050,1.02
4750,5350,3050,2
4350,5400,3050,3.98
4400,5400,3050,3.98
4450,5400,3050,3.98
4500,5400,3050,3.98
