X,Y,Z,ANN,Krig,IDS
1325.88,1478.28,929.64,0.58,0.49,0.61
1341.12,1478.28,929.64,0.63,0.51,0.61
1356.36,1478.28,929.64,0.75,0.41,0.61
1371.6,1478.28,929.64,0.82,0.4,0.61
1386.84,1478.28,929.64,0.64,0.4,0.61
1402.08,1478.28,929.64,0.48,0.27,0.61
1417.32,1478.28,929.64,0.35,0.58,0.61
1432.56,1478.28,929.64,0.26,0.49,0.61
1325.88,1493.52,929.64,0.62,0.53,0.61
1341.12,1493.52,929.64,0.67,0.38,0.71
1356.36,1493.52,929.64,0.81,0.38,0.84
1371.6,1493.52,929.64,0.93,0.59,0.4
1386.84,1493.52,929.64,0.73,0.57,0.61
1402.08,1493.52,929.64,0.56,0.53,0.61
1417.32,1493.52,929.64,0.42,0.47,0.68
1432.56,1493.52,929.64,0.31,0.41,0.74
1325.88,1508.76,929.64,0.65,0.34,0.84
1341.12,1508.76,929.64,0.71,0.5,0.58
1356.36,1508.76,929.64,0.87,0.57,0.46
1371.6,1508.76,929.64,1.06,0.51,0.32
1386.84,1508.76,929.64,0.84,0.66,0.61
1402.08,1508.76,929.64,0.64,0.73,0.65
1417.32,1508.76,929.64,0.49,0.39,0.71
1432.56,1508.76,929.64,0.36,0.43,0.78
1447.8,1508.76,929.64,0.27,0.51,0.84
1463.04,1508.76,929.64,0.21,0.48,0.84
1325.88,1524,929.64,0.68,0.73,0.84
1341.12,1524,929.64,0.74,0.71,0.51
1356.36,1524,929.64,0.93,0.74,0.39
1371.6,1524,929.64,1.21,0.64,0.5
1386.84,1524,929.64,0.97,0.42,0.57
1402.08,1524,929.64,0.74,0.44,0.75
1417.32,1524,929.64,0.56,0.41,1.08
1432.56,1524,929.64,0.43,0.44,0.92
1447.8,1524,929.64,0.34,0.64,0.94
1463.04,1524,929.64,0.28,0.8,1.12
1325.88,1539.24,929.64,0.7,0.93,0.84
1341.12,1539.24,929.64,0.78,0.74,0.84
1356.36,1539.24,929.64,0.97,0.58,0.36
1371.6,1539.24,929.64,1.33,0.65,0.5
1386.84,1539.24,929.64,1.11,0.27,0.93
1402.08,1539.24,929.64,0.86,0.42,1.17
1417.32,1539.24,929.64,0.67,0.42,0.92
1432.56,1539.24,929.64,0.54,0.66,0.98
1447.8,1539.24,929.64,0.44,0.56,1.31
1463.04,1539.24,929.64,0.36,0.8,1.51
1325.88,1554.48,929.64,0.68,0.85,0.84
1341.12,1554.48,929.64,0.81,0.63,0.26
1356.36,1554.48,929.64,1.02,0.51,0.69
1371.6,1554.48,929.64,1.46,0.24,1
1386.84,1554.48,929.64,1.27,0.23,1.33
1402.08,1554.48,929.64,1.03,0.3,1.52
1417.32,1554.48,929.64,0.85,0.52,1.63
1432.56,1554.48,929.64,0.7,0.72,1.68
1447.8,1554.48,929.64,0.57,0.78,1.71
1463.04,1554.48,929.64,0.49,0.89,1.72
1325.88,1569.72,929.64,0.66,0.82,0.5
1341.12,1569.72,929.64,0.79,0.55,1
1356.36,1569.72,929.64,1.06,0.45,1.53
1371.6,1569.72,929.64,1.58,0.35,2.29
1386.84,1569.72,929.64,1.54,0.32,2.26
1402.08,1569.72,929.64,1.31,0.3,2.12
1417.32,1569.72,929.64,1.09,0.54,1.85
1432.56,1569.72,929.64,0.89,0.79,2.08
1447.8,1569.72,929.64,0.73,1.37,1.81
1463.04,1569.72,929.64,0.68,1.38,0.45
1325.88,1584.96,929.64,0.63,0.86,0.9
1341.12,1584.96,929.64,0.75,0.67,1.53
1356.36,1584.96,929.64,1.03,0.82,2.28
1371.6,1584.96,929.64,1.76,0.69,2.14
1386.84,1584.96,929.64,1.94,0.58,1.96
1402.08,1584.96,929.64,1.64,0.32,2.27
1417.32,1584.96,929.64,1.37,0.57,2.03
1432.56,1584.96,929.64,1.13,0.8,0.24
1447.8,1584.96,929.64,1.01,1.25,0.7
1463.04,1584.96,929.64,0.9,1.82,0.47
1325.88,1600.2,929.64,0.59,1.66,1.16
1341.12,1600.2,929.64,0.72,1.06,2.42
1356.36,1600.2,929.64,1.06,1.36,2.25
1371.6,1600.2,929.64,1.84,1.12,2.06
1386.84,1600.2,929.64,2.36,0.96,2.37
1402.08,1600.2,929.64,2.05,0.25,0.26
1417.32,1600.2,929.64,1.71,0.43,0.72
1432.56,1600.2,929.64,1.48,0.7,1.01
1447.8,1600.2,929.64,1.32,0.63,1.92
1463.04,1600.2,929.64,1.07,1.31,3.47
1325.88,1615.44,929.64,0.58,1.75,3.69
1341.12,1615.44,929.64,0.73,1.04,2.8
1356.36,1615.44,929.64,1.04,1.36,2.71
1371.6,1615.44,929.64,1.88,1.21,0.21
1386.84,1615.44,929.64,2.66,0.3,0.81
1402.08,1615.44,929.64,2.43,0.42,1.37
1417.32,1615.44,929.64,2.11,0.64,2.27
1432.56,1615.44,929.64,1.91,0.72,3.39
1447.8,1615.44,929.64,1.59,1.83,3.55
1463.04,1615.44,929.64,1.07,2.49,3.28
1325.88,1630.68,929.64,0.58,1.2,3.05
1341.12,1630.68,929.64,0.73,1,0.63
1356.36,1630.68,929.64,1.02,0.25,1.25
1371.6,1630.68,929.64,1.92,0.38,2.07
1386.84,1630.68,929.64,2.92,0.73,3.01
1402.08,1630.68,929.64,2.79,1.01,3.54
1417.32,1630.68,929.64,2.55,2.22,3.36
1432.56,1630.68,929.64,2.22,2.79,1.02
1447.8,1630.68,929.64,1.59,1.74,2
1325.88,1645.92,929.64,0.57,1.51,3.98
1341.12,1645.92,929.64,0.73,0.39,3.98
1356.36,1645.92,929.64,1,0.49,3.98
1371.6,1645.92,929.64,1.8,0.77,3.98
1386.84,1645.92,929.64,3.2,1.18,
1402.08,1645.92,929.64,3.18,1.64,
1417.32,1645.92,929.64,2.93,1.65,
1432.56,1645.92,929.64,2.08,1.47,
1325.88,1661.16,929.64,0.55,1.36,
1341.12,1661.16,929.64,0.72,0.38,
1356.36,1661.16,929.64,0.97,0.5,
1371.6,1661.16,929.64,1.68,0.84,
1386.84,1661.16,929.64,3.52,1.19,
1402.08,1661.16,929.64,3.46,1.2,
1417.32,1661.16,929.64,2.7,0.84,
1432.56,1661.16,929.64,1.84,0.67,
1325.88,1676.4,929.64,0.51,0.26,
1341.12,1676.4,929.64,0.67,0.59,
1356.36,1676.4,929.64,0.88,0.93,
1371.6,1676.4,929.64,1.48,0.85,
1386.84,1676.4,929.64,3.39,0.59,
1402.08,1676.4,929.64,3.18,0.45,
1417.32,1676.4,929.64,2.36,0.34,
1432.56,1676.4,929.64,1.56,0.5,
1325.88,1691.64,929.64,0.47,0.61,
1341.12,1691.64,929.64,0.62,0.58,
1356.36,1691.64,929.64,0.78,0.75,
1371.6,1691.64,929.64,1.21,0.5,
1386.84,1691.64,929.64,2.34,0.48,
1402.08,1691.64,929.64,2.48,0.64,
1417.32,1691.64,929.64,1.9,0.56,
1325.88,1706.88,929.64,0.43,0.52,
1341.12,1706.88,929.64,0.56,,
1356.36,1706.88,929.64,0.69,,
1371.6,1706.88,929.64,0.92,,
1386.84,1706.88,929.64,1.46,,
1402.08,1706.88,929.64,1.58,,
1417.32,1706.88,929.64,1.32,,
1325.88,1722.12,929.64,0.38,,
1341.12,1722.12,929.64,0.49,,
1356.36,1722.12,929.64,0.57,,
1371.6,1722.12,929.64,0.67,,
1386.84,1722.12,929.64,0.92,,
1325.88,1737.36,929.64,0.33,,
1341.12,1737.36,929.64,0.41,,
1356.36,1737.36,929.64,0.45,,
1371.6,1737.36,929.64,0.49,,
